v1,v2,,,
Legitimate,I wont. So wat's wit the guys,,,
Legitimate,Yavnt tried yet and never played original either,,,
Legitimate,"Hiya, had a good day? Have you spoken to since the weekend?",,,
Legitimate,See? I thought it all through,,,
Legitimate,I'm at work. Please call,,,
Legitimate,get ready to moan and scream :),,,
Legitimate,Oh k :)why you got job then whats up?,,,
Legitimate,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday",,,
Legitimate,And popping &lt;#&gt; ibuprofens was no help.,,,
Legitimate,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea",,,
Legitimate,Ok.,,,
Legitimate,PS U no ur a grown up now right?,,,
Legitimate,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",,,
Legitimate,I know a few people I can hit up and fuck to the yes,,,
Legitimate,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,,,
Legitimate,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck,,,
Legitimate,Oh god. I'm gonna Google nearby cliffs now.,,,
Phishing,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,,,
Legitimate,Yup i shd haf ard 10 pages if i add figures... ÌÏ all got how many pages?,,,
Legitimate,"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. ",,,
Legitimate,Thankyou so much for the call. I appreciate your care.,,,
Legitimate,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,,,
Legitimate,I called but no one pick up e phone. I ask both of them already they said ok.,,,
Legitimate,Hi my email address has changed now it is ,,,
Legitimate,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy \VALENTINES DAY\"" in advance""",,,
Legitimate,"Not much, just some textin'. How bout you?",,,
Legitimate,Bring it if you got it,,,
Legitimate,I'm in a movie. Call me 4 wat?,,,
Legitimate,Not sure I have the stomach for it ...,,,
Legitimate,Haha... can... But i'm having dinner with my cousin...,,,
Legitimate,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\""""",,,
Legitimate,"(And my man carlos is definitely coming by mu tonight, no excuses)",,,
Legitimate,soon you will have the real thing princess! Do i make you wet? :),,,
Legitimate,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,,,
Legitimate,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",,,
Phishing,"URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",,,
Legitimate,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,,,
Phishing,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",,,
Legitimate,"Hmm well, night night ",,,
Legitimate,Just wanted to say holy shit you guys weren't kidding about this bud,,,
Legitimate,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!",,,
Legitimate,"This is one of the days you have a billion classes, right?",,,
Legitimate,"Goodmorning, today i am late for 2hrs. Because of back pain.",,,
Legitimate,Ok then i'll let him noe later n ask him call u tmr...,,,
Legitimate,Prabha..i'm soryda..realy..frm heart i'm sory,,,
Legitimate,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?,,,
Legitimate,* Will have two more cartons off u and is very pleased with shelves,,,
Legitimate,Nice talking to you! please dont forget my pix :) i want to see all of you...,,,
Phishing,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,,,
Legitimate,But really quite funny lor wat... Then u shd haf run shorter distance wat...,,,
Legitimate,I notice you like looking in the shit mirror youre turning into a right freak,,,
Legitimate,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,,,
Phishing,"Thanks for your ringtone order, ref number K718. Your mobile will be charged å£4.50. Should your tone not arrive please call customer services on 09065069120",,,
Legitimate,"I prefer my free days... Tues, wed, fri oso can... ÌÏ ask those workin lor...",,,
Legitimate,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,,,
Legitimate,If you have belive me. Come to my home.,,,
Legitimate,Oh k.k..where did you take test?,,,
Legitimate,Those were my exact intentions,,,
Legitimate,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,,,
Legitimate,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...",,,
Legitimate,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",,,
Legitimate,Nothing just getting msgs by dis name wit different no's..,,,
Legitimate,Good Morning plz call me sir,,,
Legitimate,What's your room number again? Wanna make sure I'm knocking on the right door,,,
Legitimate,\Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtåÓbraindanceåÓa comp.ofstuff on aphexåÕs ;abel,"u hav2hear it!c u sn xxxx\""""",,
Legitimate,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming,,,
Legitimate,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know.",,,
Legitimate,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is,,,
Legitimate,Every day i use to sleep after  &lt;#&gt;  so only.,,,
Legitimate,K I'll call you when I'm close,,,
Legitimate,U buy newspapers already?,,,
Legitimate,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,,,
Legitimate,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,,,
Legitimate,No management puzzeles.,,,
Legitimate,How did you find out in a way that didn't include all of these details,,,
Phishing,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",,,
Phishing,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls å£1/minMobsmoreLKPOBOX177HP51FL,,,
Legitimate,will you like to be spoiled? :),,,
Phishing,"Thanks for your ringtone order, ref number R836. Your mobile will be charged å£4.50. Should your tone not arrive please call customer services on 09065069154",,,
Legitimate,I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.,,,
Legitimate,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,,,
Legitimate,Den wat will e schedule b lk on sun?,,,
Legitimate,Lol enjoy role playing much?,,,
Legitimate,Ok. Me watching tv too.,,,
Legitimate,I just lov this line: \Hurt me with the truth, I don't mind,i wil tolerat.bcs ur my someone..... But," Never comfort me with a lie\"" gud ni8 and sweet dreams"""
Legitimate,"Just checked out, heading out to drop off my stuff now",,,
Legitimate,Here got lots of hair dresser fr china.,,,
Legitimate,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,,,
Legitimate,Ill call you evening ill some ideas.,,,
Phishing,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,,,
Legitimate,Did you show him and wot did he say or could u not c him 4 dust?,,,
Legitimate,It should take about  &lt;#&gt;  min,,,
Phishing,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,,,
Legitimate,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,,,
Legitimate,I cant pick the phone right now. Pls send a message,,,
Phishing,<Forwarded from 88877>FREE entry into our å£250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,,,
Legitimate,Finish liao... U?,,,
Phishing,88066 FROM 88066 LOST 3POUND HELP,,,
Legitimate,Haha i think i did too,,,
Legitimate,U know we watchin at lido?,,,
Legitimate,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,,,
Legitimate,"Haha awesome, I've been to 4u a couple times. Who all's coming?",,,
Legitimate,Cold. Dont be sad dear,,,
Legitimate,Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip,,,
Legitimate,Is that on the telly? No its Brdget Jones!,,,
Legitimate,Love you aathi..love u lot..,,,
Legitimate,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/,,,
Legitimate,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,,,
Legitimate,"Sorry, I'll call later in meeting",,,
Legitimate,R Ì_ comin back for dinner?,,,
Legitimate,"I hav almost reached. Call, i m unable to connect u.",,,
Legitimate,Whom you waited for yesterday,,,
Legitimate,I reach home safe n sound liao...,,,
Legitimate,"Velly good, yes please!",,,
Legitimate,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do",,,
Legitimate,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon,,,
Legitimate,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8,,,
Legitimate,Dont you have message offer,,,
Phishing,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,,,
Legitimate,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.",,,
Legitimate,Remind me how to get there and I shall do so,,,
Legitimate,:-( that's not v romantic!,,,
Legitimate,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.,,,
Phishing,You have 1 new message. Please call 08718738034.,,,
Legitimate,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX,,,
Phishing,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches,,,
Legitimate,Draw va?i dont think so:),,,
Legitimate,Dont pick up d call when something important is There to tell. Hrishi,,,
Phishing,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",,,
Legitimate,Nothin comes to my mind. ÌÏ help me buy hanger lor. Ur laptop not heavy?,,,
Legitimate,"&lt;#&gt; , that's all? Guess that's easy enough",,,
Legitimate,We can make a baby in yo tho,,,
Legitimate,Should I tell my friend not to come round til like  &lt;#&gt; ish?,,,
Legitimate,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,,,
Legitimate,Still in the area of the restaurant. Ill try to come back soon,,,
Legitimate,"Aight that'll work, thanks",,,
Phishing,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,,,
Phishing,Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP Arrow,,,
Legitimate,"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?",,,
Phishing,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ ,,,
Phishing,"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",,,
Phishing,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",,,
Legitimate,So what do you guys do.,,,
Legitimate,Also that chat was awesome but don't make it regular unless you can see her in person,,,
Legitimate,That's significant but dont worry.,,,
Legitimate,That's cause your old. I live to be high.,,,
Legitimate,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo Legitimate jeetey hai..........",,,
Legitimate,On the way to office da..,,,
Legitimate,In which place do you want da.,,,
Legitimate,This pain couldn't have come at a worse time.,,,
Legitimate,Ok...,,,
Legitimate,Should I be stalking u?,,,
Legitimate,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,,,
Legitimate,Ok lor.,,,
Legitimate,Apps class varaya elaya.,,,
Legitimate,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,,,
Phishing,"URGENT! Your mobile number *************** WON a å£2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",,,
Legitimate,That day you asked about anand number. Why:-),,,
Legitimate,Am surfing online store. For offers do you want to buy any thing.,,,
Legitimate,Long beach lor. Expected... U having dinner now?,,,
Legitimate,At home by the way,,,
Legitimate,We are both fine. Thanks,,,
Legitimate,What happen to her tell the truth,,,
Legitimate,Do you like Italian food?,,,
Legitimate,Which is weird because I know I had it at one point,,,
Legitimate,"\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\""""",,,
Legitimate,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,,,
Legitimate,"Alright, see you in a bit",,,
Legitimate,Cheers for the message Zogtorius. IåÕve been staring at my phone for an age deciding whether to text or not.,,,
Legitimate,I will take care of financial problem.i will help:),,,
Legitimate,Tell dear what happen to you. Why you talking to me like an alian,,,
Phishing,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,,,
Legitimate,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",,,
Legitimate,Okie...,,,
Legitimate,"Hi this is yijue, can i meet u at 11 tmr?",,,
Legitimate,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,,,
Legitimate,But i dint slept in afternoon.,,,
Legitimate,That seems unnecessarily affectionate,,,
Legitimate,Yar else i'll thk of all sorts of funny things.,,,
Legitimate,You will be in the place of that man,,,
Phishing,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 å£3 ",,,
Legitimate,Thats cool. How was your day?,,,
Phishing,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,,,
Legitimate,R we going with the  &lt;#&gt;  bus?,,,
Legitimate,"Hello, my love ! How went your day ? Are you alright ? I think of you, my sweet and send a jolt to your heart to remind you ... I LOVE YOU! Can you hear it ? I screamed it across the sea for all the world to hear. Ahmad al Hallaq is loved ! and owned ! *possessive passionate kiss*",,,
Legitimate,No..he joined today itself.,,,
Legitimate,Okay same with me. Well thanks for the clarification,,,
Legitimate,I'll talk to the others and probably just come early tomorrow then,,,
Phishing,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic",,,
Legitimate,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks.",,,
Legitimate,Hi. I'm sorry i missed your call. Can you pls call back.,,,
Legitimate,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,
Phishing,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",,,
Legitimate,Ok then no need to tell me anything i am going to sleep good night,,,
Legitimate,Ok try to do week end course in coimbatore.,,,
Phishing,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,,,
Legitimate,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-),,,
Legitimate,If you r @ home then come down within 5 min,,,
Legitimate,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8""",,,
Legitimate,"That day Ì_ say Ì_ cut ur hair at paragon, is it called hair sense? Do Ì_ noe how much is a hair cut? ",,,
Legitimate,"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho",,,
Legitimate,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,,,
Phishing,XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only,,,
Legitimate,Dunno lei he neva say...,,,
Legitimate,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,,,
Legitimate,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.,,,
Phishing,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,,,
Legitimate,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",,,
Legitimate,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",,,
Legitimate,"If i let you do this, i want you in the house by 8am.",,,
Legitimate,"Best line said in Love: . \I will wait till the day I can forget u Or The day u realize that u cannot forget me.\""... Gn""",,,
Legitimate,I will reach before ten morning,,,
Legitimate,Your pussy is perfect!,,,
Legitimate,"Sorry, I'll call later",,,
Phishing,"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p",,,
Legitimate,No message..no responce..what happend?,,,
Legitimate,Also where's the piece,,,
Legitimate,"wiskey Brandy Rum Gin Beer Vodka Scotch SLegitimatepain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",,,
Legitimate,Boo. How's things? I'm back at home and a little bored already :-(,,,
Legitimate,First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries,,,
Legitimate,PICK UR FONE UP NOW U DUMB?,,,
Legitimate,"Thanks da thangam, i feel very very happy dear. I also miss you da.",,,
Legitimate,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. ",,,
Legitimate,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,,,
Legitimate,"Babe, I'm back ... Come back to me ...",,,
Legitimate,Well you told others you'd marry them...,,,
Legitimate,Neshanth..tel me who r u?,,,
Legitimate,YO YO YO BYATCH WHASSUP?,,,
Legitimate,Oh... Kay... On sat right?,,,
Legitimate,Hi! This is Roger from CL. How are you?,,,
Phishing,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),,,
Legitimate,Oh oh... Wasted... Den muz chiong on sat n sun liao...,,,
Legitimate,Jesus christ bitch I'm trying to give you drugs answer your fucking phone,,,
Legitimate,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,,,
Legitimate,I'm meeting Darren...,,,
Legitimate,One of best dialogue in cute reltnship..!! \Wen i Die," Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8""",,
Legitimate,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",,,
Legitimate,Dear where you will be when i reach there,,,
Legitimate,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :),,,
Legitimate,Ok... Thanx... Gd nite 2 Ì_ too...,,,
Legitimate,"Come to me right now, Ahmad",,,
Phishing,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
Legitimate,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.,,,
Legitimate,O was not into fps then.,,,
Legitimate,Huh means computational science... Y they like dat one push here n there...,,,
Legitimate,"Could you not read me, my Love ? I answered you",,,
Legitimate,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... ,,,
Legitimate,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala.",,,
Phishing,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,,,
Legitimate,Oic... Then better quickly go bathe n settle down...,,,
Legitimate,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,,,
Legitimate,A bloo bloo bloo I'll miss the first bowl,,,
Legitimate,Lmao but its so fun...,,,
Legitimate,Oh k k:)but he is not a big hitter.anyway good,,,
Legitimate,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!,,,
Phishing,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201,,,
Legitimate,Do you think i can move  &lt;#&gt;  in a week,,,
Legitimate,She.s find. I sent you an offline message to know how anjola's now.,,,
Phishing,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,,,
Legitimate,How was txting and driving,,,
Legitimate,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,,,
Legitimate,Really dun bluff me leh... U sleep early too. Nite...,,,
Legitimate,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \ &lt;#&gt;  lac crore\"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.\""""",,,
Legitimate,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,,,
Legitimate,Oh ya ya. I remember da. .,,,
Legitimate,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,,,
Phishing,"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",,,
Legitimate,I not busy juz dun wan 2 go so early.. Hee.. ,,,
Legitimate,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,,,
Legitimate,"Great. I'm in church now, will holla when i get out",,,
Legitimate,Back in brum! Thanks for putting us up and keeping us all and happy. See you soon ,,,
Legitimate,I donno if they are scorable,,,
Legitimate,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here,,,
Legitimate,"Yes but i dont care! I need you bad, princess!",,,
Legitimate,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight",,,
Legitimate,"Sorry, I'll call later",,,
Legitimate,Tmr then Ì_ brin lar... Aiya later i come n c lar... Mayb Ì_ neva set properly Ì_ got da help sheet wif Ì_...,,,
Legitimate,Do u knw dis no. &lt;#&gt; ?,,,
Legitimate,Then she dun believe wat?,,,
Legitimate,K..give back my thanks.,,,
Legitimate,I know complain num only..bettr directly go to bsnl offc nd apply for it..,,,
Legitimate,Okay. I've seen it. So i should pick it on friday?,,,
Legitimate,How much she payed. Suganya.,,,
Legitimate,Left dessert. U wan me 2 go suntec look 4 u?,,,
Legitimate,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?",,,
Legitimate,Onum ela pa. Normal than.,,,
Legitimate,K.k..how is your sister kids?,,,
Legitimate,"Cool, I'll text you when I'm on the way",,,
Legitimate,Nope. Meanwhile she talk say make i greet you.,,,
Legitimate,i cant talk to you now.i will call when i can.dont keep calling.,,,
Legitimate,Anything lar...,,,
Legitimate,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",,,
Legitimate,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",,,
Legitimate,They will pick up and drop in car.so no problem..,,,
Legitimate,S.i think he is waste for rr..,,,
Legitimate,He is world famamus....,,,
Legitimate,Is there coming friday is leave for pongal?do you get any news from your work place.,,,
Legitimate,Lol well don't do it without me. We could have a big sale together.,,,
Legitimate,* Am on my way,,,
Legitimate,Eat at old airport road... But now 630 oredi... Got a lot of pple...,,,
Legitimate,"sry can't talk on phone, with parents",,,
Phishing,"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16",,,
Legitimate,Ok lor wat time Ì_ finish?,,,
Legitimate,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!",,,
Legitimate,Mm i am on the way to railway,,,
Legitimate,i dnt wnt to tlk wid u,,,
Legitimate,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.",,,
Legitimate,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?,,,
Phishing,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",,,
Phishing,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",,,
Legitimate,K.:)do it at evening da:)urgent:),,,
Legitimate,Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!,,,
Legitimate,Mm have some kanji dont eat anything heavy ok,,,
Legitimate,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.,,,
Legitimate,Lol that's different. I don't go trying to find every real life photo you ever took.,,,
Legitimate,I dont thnk its a wrong calling between us,,,
Legitimate,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,,,
Legitimate,Aiyah e rain like quite big leh. If drizzling i can at least run home.,,,
Legitimate,I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?,,,
Legitimate,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.,,,
Legitimate,"Greetings me, ! Consider yourself excused.",,,
Legitimate,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.,,,
